EntityID,Entidad,DxSindromatico
1026,CAJACOPI ARS,TOS CON EXPECTORACION Y FIEBRE
1035,EPS Y MEDICINA PREPAGADA SURAMERICANA S. A,TOS SECA SIN COMPROMISO GENERAL
1155,E.P.S. SANITAS CONTRIBUTIVO.,CIANOSIS
1210,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,DISNEA SUBITA
1219,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,CRISIS  ASMATICAS
1250,COSMITET LTDA IPS,DOLOR ABDOMINAL
1262,EPS SURAMERICANA S.A.,DOLOR ABDOMINAL
1263,SECRETARIA DE SALUD DPTAL DEL HUILA,DOLOR ABDOMINAL CONSTANTE
1308,FIDUCIARIA CENTRAL,SANGRADO RECTAL SIN COMPROMISO
1381,SECRETARIA DE SALUD DPTAL DEL HUILA,DOLOR AGUDO
1413,A.R.P. SEGUROS DE VIDA AXA COLPATRIA S.A.,URTICARIAS
1429,ASOCIACION INDIGENA DEL CAUCA AIC,ABSCESO CUTANEO FURUNCULO DE SITIO NO ESPECIFICADO
1450,PARTICULARES,URTICARIA ALERGICA
1458,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,URTICARIA NO ESPECIFICADA
1479,NUEVA EPS,DOLOR ARTICULAR EN PACIENTE HEMOFILICO
1506,NUEVA EPS,SINDROME DE INFECCION AGUDA
1515,POSITIVA COMPAÑIA DE SEGUROS,DOLOR LUMBAR SIN SINTOMAS ASOCIADOS
1592,NUEVA EPS,FRACTURAS
1594,A.R.P. SEGUROS DE VIDA AXA COLPATRIA S.A.,DOLOR EN DORSO LOCALIZADO
1602,UNION TEMPORAL TOLIHUILA,ESPASMO MUSCULAR
1711,EPS Y MEDICINA PREPAGADA SURAMERICANA S. A,"DISURIA, POLAQUIURIA, FIEBRE"
1946,SECRETARIA DE SALUD DPTAL DEL HUILA,ENDOMETRIOSIS
2019,ALIANSALUD EPS,HEMATURIA
2048,NUEVA EPS,VIOLENCIA DE GENERO
2161,PIJAOSALUD EPS-I,SINCOPE O LIPOTIMIA
2168,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,SINCOPE
2181,CAPITALSALUD E.P.S - S S.A.S,EPISODIO CONVULSION
2256,EMSSANAR E.P.S S.A.S,TCE LEVE
2260,CAPITALSALUD E.P.S - S S.A.S,TRAUMATISMO CRANEOENCEFALICO
2358,ASEGURADORA SOLIDARIA DE COLOMBIA ENTIDAD COOPERATIVA,ACCIDENTE DE TRANSITO
2363,SEGUROS DE VIDA SURAMERICANA Y ARL SURA,CUERPO EXTRAÑO EN EL OJO
2473,EMPRESA PROMOTORA DE SALUD ECOOPSOS EPS S.A.S,TRAUMA PENETRANTE TORAX
2507,E.P.S. SANITAS CONTRIBUTIVO.,ACCIDENTE LABORAL
2513,SEGUROS DEL ESTADO,FRACTURA DE HUESOS LARGOS
2575,EPS FAMISANAR SAS,FRACTURAS
2602,COMPAÑIA  SURAMERICANA DE SEGUROS S.A.,FRACTURA DE HUESOS LARGOS
2621,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,TRAUMA CON DOLOR TOLERABLE SIN COMPROMISO VASCULAR
2768,A.R.P. SEGUROS DE VIDA AXA COLPATRIA S.A.,HERIDA DE LA PIERNA PARTE NO ESPECIFICADA
2807,MALLAMAS EPS,CUERPO EXTRAÑO EN OIDO
34,ASOCIACION INDIGENA DEL CAUCA AIC,DOLOR ABDOMINAL CONSTANTE
172,ASOCIACION INDIGENA DEL CAUCA AIC,VOMITO SIN SANGRE
220,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,VERTIGO SIN EMESIS
297,NUEVA EPS,"ODINOFAGIA, ADENOPATIAS Y FIEBRE"
403,NUEVA EPS,ANEMIA NUTRICIONAL
491,ASOCIACION INDIGENA DEL CAUCA AIC,HIPERTENSION O HIPOTENSION LEVE
527,ASMET SALUD CONTRIBUTIVO,OTROS TRASTORNOS DE ANSIEDAD
535,E.P.S. SANITAS CONTRIBUTIVO.,TRASTORNO MENTAL
660,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,MAREO
678,NUEVA EPS,CONTUSIONES
691,ASMET SALUD CONTRIBUTIVO,CONJUNTIVITIS
750,MALLAMAS EPS,HIPERTENSION O HIPOTENSION SEVERA
771,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,CAMBIOS GRADUALES DE VISION NO SUBITOS
772,NUEVA EPS,CUERPO EXTRAÑO EN PARTE EXTERNA DEL OJO
857,UNION TEMPORAL TOLIHUILA,OTORRAGIA /OTOLIQUIA POS TRAUMA
874,EMSSANAR E.P.S S.A.S,HIPERTENSION O HIPOTENSION SEVERA
988,MALLAMAS EPS,TROMBOSIS VENOSA PROFUNDA
1157,UNION TEMPORAL TOLIHUILA,TOS CRONICA
1162,ASOCIACION INDIGENA DEL CAUCA AIC,"ODINOFAGIA, ADENOPATIAS Y FIEBRE"
1258,UNION TEMPORAL TOLIHUILA,DOLOR ABDOMINAL INTERMITENTE
1269,COMPENSAR E.P.S CONTRIBUTIVO,DOLOR ABDOMINAL
1384,SEGUROS COMERCIAL BOLIVAR SOAT,CELULITIS DE SITIO NO ESPECIFICADO
1398,NUEVA EPS,ACCIDENTE EN DOMICILIO
1400,ADRES DE LOS RECURSOS DEL SITEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,CONTUSIONES
1472,UNION TEMPORAL TOLIHUILA,UÑA ENCARNADA
1476,SEGUROS COMERCIAL BOLIVAR SOAT,DOLOR NO ESPECIFICADO
1477,NUEVA EPS,DEFORMIDAD EN ARTICULACION CON DOLOR
1579,SURAMERICANA SALUD,TRAUMA CERRADO
1605,ASEGURADORA SOLIDARIA DE COLOMBIA,TRAUMA CERRADO
1660,EMSSANAR E.P.S S.A.S,DOLOR ABDOMINAL SEVERO
1776,NUEVA EPS,SANGRADO VAGINAL
1811,NUEVA EPS,TRAUMA EN CADERA CON DOLOR
1843,ASOCIACION INDIGENA DEL CAUCA AIC,DOLOR TORACICO CON TOS Y FIEBRE
1852,ASOCIACION INDIGENA DEL CAUCA AIC,DOLOR TORACICO CON LA PALPACION
1888,E.P.S. SANITAS CONTRIBUTIVO.,CONTUSION DE LOS ORGANOS GENITALES EXTERNOS
1908,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,DOLOR ABDOMINAL  FIEBRE  FLUJO VAGINAL
2038,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,RETENCION URINARIA
2050,E.P.S. SANITAS CONTRIBUTIVO.,LESIONES POR VIOLENCIA
2068,UNION TEMPORAL TOLIHUILA,DISFONIA
2078,COLMEDICA MEDICINA PREPAGADA,ARTRALGIAS  FIEBRE
2105,E.P.S. SANITAS CONTRIBUTIVO.,LEUCEMIA
2125,EPS FAMISANAR SAS,VERTIGO CON EMESIS
2189,CAJACOPI EPS S.A.S,EPISODIO CONVULSION
2221,SEGUROS LA PREVISORA,TRAUMATISMO CRANEOENCEFALICO
2251,ADRES DE LOS RECURSOS DEL SITEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,TRAUMA PENETRANTE
2271,FIDUCIARIA CENTRAL,HERIDA DE LA CABEZA PARTE NO ESPECIFICADA
2329,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,HERIDA DE LA CABEZA PARTE NO ESPECIFICADA
2335,SURAMERICANA SALUD,HERIDA DE OTRA PARTE NO ESPECIFICADA
2423,UNION TEMPORAL TOLIHUILA,TRAUMA CERRADO
2555,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,LUXACIONES TORCEDURAS Y ESGUINCES MULTIPLES NO ESPECIFICADOS
2584,SECRETARIA DE SALUD DPTAL DEL HUILA,TRAUMA CERRADO DE MANO Y PIE
2623,ALIANZA MEDELLIN ANTIOQUIA EPS SAS,LESIONES POR VIOLENCIA
2639,LIBERTY SEGUROS S.A.,HERIDA DE LA MUÑECA Y DE LA MANO PARTE NO ESPECIFICADA
2803,CAPITALSALUD E.P.S - S S.A.S,CUERPO EXTRAÑO EN EL OJO
2884,MAPFRE SEGUROS GENERALES DE COLOMBIA S A,HERIDA DE OTRA PARTE NO ESPECIFICADA
2914,AXA COLPATRIA SEGUROS S.A.,ACCIDENTE LABORAL
32,MALLAMAS EPS,DIARREA SIN COMPROMISO GENERAL
95,E.P.S. SANITAS CONTRIBUTIVO.,"DISURIA, POLAQUIURIA, FIEBRE"
101,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,DOLOR ABDOMINAL CON DIARREA Y DHT
114,NUEVA EPS,CONJUNTIVITIS
203,E.P.S. SANITAS CONTRIBUTIVO.,MAREO
231,NUEVA EPS,TOS SECA SIN COMPROMISO GENERAL
249,E.P.S. SANITAS CONTRIBUTIVO.,SECRECION DE PUS URETRAL
264,NUEVA EPS,AMIGDALITIS AGUDA
405,ASMET SALUD CONTRIBUTIVO,QUISTE  DE OVARIOS
501,ASMET SALUD CONTRIBUTIVO,PALIDEZ CUTANEA Y FRIALDAD
521,E.P.S. SANITAS CONTRIBUTIVO.,RETENCION URINARIA
541,NUEVA EPS,EPISODIO DE PARESIA O PLEJIA
560,EPS FAMISANAR SAS,ESQUIZOFRENIA CON SINTOMAS DE ALUCINACIONES
672,DIRECCION DE SANIDAD MILITAR,DOLOR LUMBAR IRRADIADO Y PARESTESIAS
724,DIRECCION DE SANIDAD MILITAR,HEMORRAGIA SUBCONJUNTIVAL
751,ALIANZA MEDELLIN ANTIOQUIA EPS SAS,CAMBIOS GRADUALES DE VISION NO SUBITOS
758,POSITIVA COMPAÑIA DE SEGUROS,ACCIDENTE LABORAL
784,MALLAMAS EPS,TRAUMA OCULAR QUIMICO O FISICO
794,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,OTALGIA OTORREA Y FIEBRE
815,DIRECCION DE SANIDAD MILITAR,TOS SECA MALESTAR GENERAL FIEBRE
817,NUEVA EPS,DOLOR ABDOMINAL POSTQUIRURGICO
840,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,MAREO
851,DIRECCION DE SANIDAD MILITAR,TRAUMATISMO CRANEOENCEFALICO
903,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,HIPERTENSION O HIPOTENSION LEVE
961,UNION TEMPORAL TOLIHUILA,ACCIDENTE  CEREBRO VASCULAR
1040,ASMET SALUD CONTRIBUTIVO,"ALERGIA, CONGESTION NASAL, ESTORNUDOS"
1056,MALLAMAS EPS,AMIGDALITIS AGUDA
1064,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,SINDROME FEBRIL
1082,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,DISNEA MODERADA
1095,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,DISNEA MODERADA
1109,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,RINORREA CONGESTION NASAL
1180,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,CEFALEA CRONICA
1226,PARTICULARES,DOLOR AGUDO
1277,NUEVA EPS,HERNIA INGUINAL
1329,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,EMESIS CUNCHO CAFE
1340,NUEVA EPS,DERMATITIS SEBORREICA NO ESPECIFICADA
1478,MALLAMAS EPS,DOLOR CRONICO
1483,ASMET SALUD CONTRIBUTIVO,DOLOR LUMBAR CRONICO
1526,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,DOLOR LUMBAR CRONICO
1564,SURAMERICANA SALUD,DOLOR AGUDO
1623,MALLAMAS EPS,EMESIS CUNCHO CAFE
1631,MALLAMAS EPS,DOLOR TORACICO CON LA PALPACION
1658,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,DOLOR SEVERO TIPO COLICO EN FLANCO + HEMATURIA
1675,PARTICULARES,HEMATURIA
1692,MALLAMAS EPS,INFECCION VIAS URINARIAS
1729,DIRECCION DE SANIDAD MILITAR,INFECCION VIAS URINARIAS
1736,ASMET SALUD CONTRIBUTIVO,INCONTINENCIA
1748,PARTICULARES,HERIDA DE OTRA PARTE NO ESPECIFICADA
1808,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,ICTERICIA NEONATAL
1823,MALLAMAS EPS,PALPITACIONES SIN COMPROMISO GENERAL
1858,DIRECCION DE SANIDAD MILITAR,SINCOPE O LIPOTIMIA
1876,PARTICULARES,DOLOR TORACICO CON LA PALPACION
1886,FIDUCIARIA CENTRAL,SINCOPE
1891,EPS Y MEDICINA PREPAGADA SURAMERICANA S. A,DOLOR TORACICO CON LA INSPIRACION
1912,ASOCIACION INDIGENA DEL CAUCA AIC,DOLOR ABDOMINAL SEVERO
1964,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,ABDOMEN AGUDO
2070,MALLAMAS EPS,DISFONIA
2097,ASOCIACION MUTUAL SER EMPRESA SOLIDARIA DE SALUD EPS-S,ARTRALGIAS  FIEBRE
2136,CAPITALSALUD E.P.S - S S.A.S,CEFALEA CRONICA
2303,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,HERIDA DE OTRA PARTE NO ESPECIFICADA
2415,ASOCIACION INDIGENA DEL CAUCA AIC,TCE MODERADO
2493,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,HERIDAS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL ABDOMEN
2511,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,LUXACIONES TORCEDURAS Y ESGUINCES MULTIPLES NO ESPECIFICADOS
2652,ASOCIACION INDIGENA DEL CAUCA AIC,HERIDA DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL HOMBRO Y DEL BRAZO
2716,LIBERTY SEGUROS S.A.,TRAUMA CON DOLOR TOLERABLE SIN COMPROMISO VASCULAR
2782,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,ACCIDENTE EN DOMICILIO
2865,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,ABUSO SEXUAL
2867,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,ABUSO SEXUAL
2887,SEGUROS LA PREVISORA,DOLOR CRONICO
2917,NUEVA EPS,HEMORRAGIA INTRACEREBRAL
26,UNION TEMPORAL TOLIHUILA,DIARREA SIN COMPROMISO GENERAL
31,E.P.S. SANITAS CONTRIBUTIVO.,DOLOR ABDOMINAL
44,E.P.S. SANITAS CONTRIBUTIVO.,RINORREA CONGESTION NASAL
56,ALIANSALUD EPS,DOLOR ABDOMINAL CON DIARREA Y DHT
270,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,ARTRALGIAS  FIEBRE
343,MALLAMAS EPS,URTICARIAS
348,MALLAMAS EPS,URTICARIA NO ESPECIFICADA
366,NUEVA EPS,ANEMIA POR DEFICIENCIA DE HIERRO
414,ASMET SALUD CONTRIBUTIVO,ANEMIA NUTRICIONAL
439,UNION TEMPORAL TOLIHUILA,SANGRADO RECTAL SIN COMPROMISO
451,MEDPLUS MEDICINA PREPAGADA,DOLOR NO ESPECIFICADO
467,DIRECCION DE SANIDAD MILITAR,MAREO
568,ASMET SALUD CONTRIBUTIVO,DEMENCIA NO ESPECIFICADA
570,NUEVA EPS,TRASNTORNO SICOTICO AGUDO
572,NUEVA EPS,EPISODIO CONVULSION
592,UNION TEMPORAL TOLIHUILA,PARESTESIAS ASOCIADAS A ANSIEDAD
656,NUEVA EPS,ACCIDENTE  CEREBRO VASCULAR
668,ASMET SALUD CONTRIBUTIVO,ACCIDENTE  CEREBRO VASCULAR
717,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,DOLOR OCULAR
732,E.P.S. SANITAS CONTRIBUTIVO.,TRAUMA OCULAR QUIMICO O FISICO
778,E.P.S. SANITAS CONTRIBUTIVO.,CUERPO EXTRAÑO EN PARTE EXTERNA DEL OJO
826,MALLAMAS EPS,MAREO
838,UNION TEMPORAL TOLIHUILA,VERTIGO CON EMESIS
843,SECRETARIA DE SALUD DPTAL DEL HUILA,VERTIGO CON EMESIS
885,MALLAMAS EPS,EPISTAXIS + HTA + CEFALEA
970,COMPENSAR E.P.S CONTRIBUTIVO,ACCIDENTE  CEREBRO VASCULAR
994,ASMET SALUD CONTRIBUTIVO,CIANOSIS
1013,EMSSANAR E.P.S S.A.S,TOS SECA MALESTAR GENERAL FIEBRE
1033,E.P.S. SANITAS CONTRIBUTIVO.,ARTRALGIAS
1119,CAPITALSALUD E.P.S - S S.A.S,TOS CON EXPECTORACION Y FIEBRE
1120,SECRETARIA DE SALUD DPTAL DEL HUILA,"RINORREA, DOLOR FRONTAL, FIEBRE"
1195,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,DISNEA SUBITA
1251,ALIANZA MEDELLIN ANTIOQUIA EPS SAS,DOLOR ABDOMINAL
1290,UNION TEMPORAL TOLIHUILA,ESTREÑIMIENTO
1328,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,"VAGINITIS, VULVITIS Y VULVOVAGINITIS INFECCIOSA"
1341,NUEVA EPS,"DERMATITIS DE CONTACTO, FORMA Y CAUSA NO ESPECIFICADAS"
1427,MUNDIAL DE SEGUROS,CELULITIS DE SITIO NO ESPECIFICADO
1543,PARTICULARES,DOLOR LUMBAR SIN SINTOMAS ASOCIADOS
1719,CAPRESOCA EPS,RETENCION URINARIA
1749,CAPITALSALUD E.P.S - S S.A.S,ULCERA CRONICA DE LA PIEL NO CLASIFICADA EN OTRA PARTE
1763,E.P.S. SANITAS CONTRIBUTIVO.,FIBROADENOMA DE LA MAMA
1883,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,DISFONIA
1927,NUEVA EPS,MIOMATOSIS UTERINA
1985,FIDUCIARIA CENTRAL,DOLOR ABDOMINAL SEVERO
2111,EMPRESA PROMOTORA DE SALUD ECOOPSOS EPS S.A.S,VOMITO SIN SANGRE
2154,CAPRESOCA EPS,DOLOR NO ESPECIFICADO
2174,EPS Y MEDICINA PREPAGADA SURAMERICANA S. A,SINCOPE O LIPOTIMIA
2241,MUNDIAL DE SEGUROS,TRAUMATISMO CRANEOENCEFALICO
2312,POSITIVA COMPAÑIA DE SEGUROS,HERIDAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
2379,AXA COLPATRIA SEGUROS S.A.,TRAUMA NASAL SIN DISNEA
2431,SEGUROS LA PREVISORA,TRAUMA CERRADO DE TORAX SIN COMPROMISO GENERAL
2440,SEGUROS LA PREVISORA,TRAUMA CERRADO DE MANO Y PIE
2624,SEGUROS DEL ESTADO,TRAUMA CERRADO DE MANO Y PIE
2643,COLMENA,DOLOR ABDOMINAL CONSTANTE
2648,A.R.P. SEGUROS DE VIDA AXA COLPATRIA S.A.,TRAUMA CERRADO
2649,CAJA DE COMPENSACION FAMILIAR DEL CHOCO,HERIDA DE OTRA PARTE NO ESPECIFICADA
2746,AXA COLPATRIA SEGUROS S.A.,FRACTURAS
2756,DIRECCION DE SANIDAD MILITAR,TRAUMA CON DOLOR TOLERABLE SIN COMPROMISO VASCULAR
2776,COMPAÑIA DE SEGUROS BOLIVAR S.A.,ESGUINCE
2781,SEGUROS LA PREVISORA,HERIDA DE LA MUÑECA Y DE LA MANO PARTE NO ESPECIFICADA
2818,UNION TEMPORAL TOLIHUILA,CUERPO EXTRAÑO EN FARINGE ASOCIADO A DISNEA
2846,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,INTENTO DE SUICIDIO
2850,EPS Y MEDICINA PREPAGADA SURAMERICANA S. A,INTENTO DE SUICIDIO
67,COMFENALCO  VALLE  SUBSIDIADO,DIARREA SIN COMPROMISO GENERAL
100,PARTICULARES,DIARREA SIN COMPROMISO GENERAL
157,ALIANSALUD EPS,DIARREA SIN COMPROMISO GENERAL
170,MALLAMAS EPS,DOLOR LUMBAR IRRADIADO Y PARESTESIAS
204,E.P.S. SANITAS CONTRIBUTIVO.,HIPERTENSION O HIPOTENSION LEVE
223,MALLAMAS EPS,DOLOR ABDOMINAL SEVERO
323,ASMET SALUD CONTRIBUTIVO,DOLOR CRONICO
347,ASOCIACION MUTUAL SER EMPRESA SOLIDARIA DE SALUD EPS-S,CEFALEA Y FIEBRE
357,E.P.S. SANITAS CONTRIBUTIVO.,HERIDA DE OTRA PARTE NO ESPECIFICADA
372,DIRECCION DE SANIDAD MILITAR,HEMOPTISIS MODERADA
395,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,DOLOR AGUDO
642,EPS Y MEDICINA PREPAGADA SURAMERICANA S. A,CEFALEA
695,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,LAGRIMEO
749,UNION TEMPORAL TOLIHUILA,DOLOR OCULAR
761,E.P.S. SANITAS CONTRIBUTIVO.,DIPLOPIA
765,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,PERDIDA SUBITA DE VISION
781,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,CUERPO EXTRAÑO EN EL OJO
909,MALLAMAS EPS,DOLOR TORAXICO
925,NUEVA EPS,HERIDAS POR VIOLENCIA
972,EPS FAMISANAR SAS,ACCIDENTE  CEREBRO VASCULAR
999,ASOCIACION INDIGENA DEL CAUCA AIC,HIPERTENSION O HIPOTENSION SEVERA
1011,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,TOS SECA SIN COMPROMISO GENERAL
1038,PARTICULARES,CEFALEA INTENSA MIGRAÑA
1140,UT SERVISALUD SAN JOSE,TOS CON EXPECTORACION Y FIEBRE
1273,E.P.S. SANITAS CONTRIBUTIVO.,HERNIA INGUINAL
1446,PARTICULARES,DERMATITIS ALERGICA DE CONTACTO DE CAUSA NO ESPECIFICADA
1457,EMSSANAR E.P.S S.A.S,URTICARIA NO ESPECIFICADA
1634,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,DOLOR TORACICO CON LA PALPACION
1636,EMSSANAR E.P.S S.A.S,DOLOR TORACICO CON LA INSPIRACION
1765,MALLAMAS EPS,MASTALGIA
1771,NUEVA EPS,ENFERMEDAD PELVICA INFLAMATORIA
1779,ASMET SALUD CONTRIBUTIVO,BARTHOLINITIS
1815,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,BRADICARDIA
1825,EPS FAMISANAR SAS,EPISTAXIS + HTA + CEFALEA
1828,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,EPISTAXIS + HTA + CEFALEA
1830,ASOCIACION INDIGENA DEL CAUCA AIC,EPISTAXIS + HTA + CEFALEA
1854,MEDPLUS MEDICINA PREPAGADA,DOLOR TORACICO CON LA INSPIRACION
1874,EPS FAMISANAR SAS,DOLOR TORACICO CON LOS MOVIMIENTOS DEL TRONCO
1911,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,DOLOR ABDOMINAL
1967,SANITAS PREPAGADA,DOLOR ABDOMINAL CONSTANTE
1999,COSMITET LTDA IPS,VOMITO SIN SANGRE
2051,MALLAMAS EPS,LESIONES POR VIOLENCIA
2106,SERV. OCCID. DE SALUD S.O.S.,CEFALEA
2107,SECRETARIA DE SALUD DPTAL DEL HUILA,SINCOPE O LIPOTIMIA
2124,LIBERTY SEGUROS S.A.,ACCIDENTE DE TRANSITO
2152,CAPITALSALUD E.P.S - S S.A.S,CONTUSIONES
2156,MALLAMAS EPS,DOLOR TORACICO CON LOS MOVIMIENTOS DEL TRONCO
2183,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,EPISODIO CONVULSION
2184,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,EPISODIO CONVULSION
2238,COLMENA,HERIDA DE OTRA PARTE NO ESPECIFICADA
2255,ADRES DE LOS RECURSOS DEL SITEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,TCE LEVE
2424,MALLAMAS EPS,TCE MODERADO
2452,ASMET SALUD CONTRIBUTIVO,TRAUMA CON DOLOR TOLERABLE SIN COMPROMISO VASCULAR
2458,NUEVA EPS,LESION PENETRANTE TORAX
2459,NUEVA EPS,TRAUMA PENETRANTE TORAX
2500,ADRES DE LOS RECURSOS DEL SITEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,DOLOR ABDOMINAL
2516,ASMET SALUD CONTRIBUTIVO,DEFORMIDAD EN ARTICULACION CON DOLOR
2557,SEGUROS COMERCIAL BOLIVAR SOAT,LUXACIONES TORCEDURAS Y ESGUINCES MULTIPLES NO ESPECIFICADOS
2590,SURAMERICANA SALUD,HERIDA DEL ANTEBRAZO PARTE NO ESPECIFICADA
2601,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,ACCIDENTE EN DOMICILIO
2606,MAPFRE SEGUROS GENERALES DE COLOMBIA S A,FRACTURA ABIERTA CON SANGRADO O DOLOR
2630,UNION TEMPORAL TOLIHUILA,HERIDA DE LA MUÑECA Y DE LA MANO PARTE NO ESPECIFICADA
2695,ADRES DE LOS RECURSOS DEL SITEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,FRACTURA DE MIEMBRO INFERIOR NIVEL NO ESPECIFICADO
70,E.P.S. SANITAS CONTRIBUTIVO.,CEFALEA
120,E.P.S. SANITAS CONTRIBUTIVO.,TOS CON EXPECTORACION Y FIEBRE
205,NUEVA EPS,DIABETES
216,EMSSANAR E.P.S S.A.S,SANGRADO RECTAL SIN COMPROMISO
240,ASMET SALUD CONTRIBUTIVO,RECIEN NACIDO
342,MALLAMAS EPS,ULCERA CRONICA DE LA PIEL NO CLASIFICADA EN OTRA PARTE
386,NUEVA EPS,HEMATURIA
387,E.P.S. SANITAS CONTRIBUTIVO.,CONJUNTIVITIS
423,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,ANEMIA NUTRICIONAL
470,NUEVA EPS,TRASTORNO MENTAL ORGANICO O SINTOMATICO NO ESPECIFICADO
484,E.P.S. SANITAS CONTRIBUTIVO.,DOLOR ARTICULAR EN PACIENTE HEMOFILICO
712,UNION TEMPORAL TOLIHUILA,BLEFAROCONJUNTIVITIS
777,ASOCIACION INDIGENA DEL CAUCA AIC,DISMINUCION SUBITA AGUDEZA VISUAL
799,UNION TEMPORAL TOLIHUILA,OTALGIA OTORREA Y FIEBRE
813,EPS FAMISANAR SAS,DOLOR NO ESPECIFICADO
814,SANITAS PREPAGADA,OTALGIA OTORREA Y FIEBRE
879,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,HIPERTENSION O HIPOTENSION LEVE
888,E.P.S. SANITAS CONTRIBUTIVO.,DOLOR TORACICO IRRADIADO A CUELLO BRAZO CO DISNEA NAUSEAS O DIAFORESIS
957,ASMET SALUD CONTRIBUTIVO,INSUFICIENCIA RESPIRATORIA AGUDA
1015,ASOCIACION INDIGENA DEL CAUCA AIC,ARTRALGIAS  FIEBRE
1036,UNION TEMPORAL TOLIHUILA,TOS SECA SIN COMPROMISO GENERAL
1063,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,"DISURIA, POLAQUIURIA, FIEBRE"
1104,EPS FAMISANAR SAS,APNEA
1125,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,SINCOPE O LIPOTIMIA
1246,E.P.S. SANITAS CONTRIBUTIVO.,LESIONES EN MUCOSA ORAL
1294,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,DOLOR ABDOMINAL INTERMITENTE
1322,E.P.S. SANITAS CONTRIBUTIVO.,EMESIS CUNCHO CAFE
1362,PIJAOSALUD EPS-I,CELULITIS DE SITIO NO ESPECIFICADO
1365,SEGUROS COMERCIAL BOLIVAR SOAT,ACCIDENTE DE TRANSITO
1399,POSITIVA COMPAÑIA DE SEGUROS,HERIDA DE OTRA PARTE NO ESPECIFICADA
1432,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,DOLOR ABDOMINAL POSTQUIRURGICO
